EnglishWord,WordType,Level,Translation,ExampleSentenceEn,ExampleSentenceTR
molecule,noun,B1,molekül,Water is made up of two hydrogen molecules and one oxygen molecule.,Su iki hidrojen molekülü ve bir oksijen molekülünden oluşur.
mom,noun,A1,anne,My mom is the best cook in the family.,Annem ailedeki en iyi aşçıdır.
moment,noun,A1,an,Ill be ready in a moment.,Bir dakika içinde hazır olacağım.
momentarily,adverb,B2,bir an için,The lights flickered momentarily during the storm.,Fırtına sırasında ışıklar bir an için yanıp söndü.
momentary,adjective,B2,anlık,There was a momentary pause before she answered.,Cevap vermeden önce anlık bir duraklama oldu.
mommy/mommie,noun,A1,anne,Mommy can I have some more juice?,Anne biraz daha meyve suyu alabilir miyim?
monastery,noun,B2,manastır,The monks live in a remote monastery.,Rahipler uzak bir manastırda yaşıyor.
Monday,noun,A1,Pazartesi,Monday is the first day of the workweek.,Pazartesi iş haftasının ilk günüdür.
money,noun,A1,para,She saved money to buy a new car.,Yeni bir araba almak için para biriktirdi.
monitor,noun,B1,monitör,He bought a larger monitor for his computer.,Bilgisayarı için daha büyük bir monitör aldı.
monitor,verb,B1,izlemek,The doctor will monitor the patients progress.,Doktor hastanın ilerlemesini izleyecek.
monk,noun,B1,keşiş,The monk spends his days in meditation.,Keşiş günlerini meditasyon yaparak geçiriyor.
monkey,noun,A1,maymun,The monkey swung from tree to tree.,Maymun ağaçtan ağaca sallandı.
monster,noun,B1,canavar,The monster in the movie was terrifying.,Filmdeki canavar korkutucuydu.
month,noun,A1,ay,Ill see you next month.,Seni gelecek ay göreceğim.
monthly,adjective,B1,aylık,We pay our bills on a monthly basis.,Faturalarımızı aylık olarak ödüyoruz.
monthly,adverb,B1,aylık,We pay the rent monthly.,Kira ücretini aylık olarak ödüyoruz.
monument,noun,B1,anıt,The monument was built in memory of the soldiers.,Anıt askerlerin anısına inşa edildi.
mood,noun,A2,mod,She was in a good mood today.,Bugün iyi bir moddaydı.
moody,adjective,B2,kaprisli,He can be very moody at times.,Zaman zaman çok kaprisli olabilir.
moon,noun,A1,ay,The full moon was shining brightly.,Dolunay parlak bir şekilde parlıyordu.
moonlight,noun,B2,ay ışığı,They walked along the beach in the moonlight.,Ay ışığında sahilde yürüdüler.
moonscape,noun,B2,ay manzarası,The artist painted a beautiful moonscape.,Sanatçı güzel bir ay manzarası çizdi.
moral,adjective,B2,ahlaki,He faced a moral dilemma in making the decision.,Karar verirken ahlaki bir ikilem yaşadı.
moral,noun,B1,ahlak,The moral of the story is to always be honest.,Hikayenin ahlaki her zaman dürüst olmaktır.
morality,noun,B2,ahlak,The question of morality is often debated in society.,Ahlak sorusu toplumda sık sık tartışılır.
morally,adverb,B2,ahlaki açıdan,He believed it was morally wrong to lie.,Yalan söylemenin ahlaki açıdan yanlış olduğunu düşündü.
more,adverb,B1,daha,We need more time to finish the project.,Projeyi bitirmek için daha fazla zamana ihtiyacımız var.
more,determiner,A1,daha,Can I have more coffee please?,Biraz daha kahve alabilir miyim lütfen?
more,pronoun,A1,daha,I want more of this delicious cake.,Bu lezzetli pastadan daha fazla istiyorum.
moreover,adverb,B1,dahası,Moreover we have to consider the cost of repairs.,Dahası onarım maliyetini de göz önünde bulundurmalıyız.
morning,noun,A1,sabah,I usually go for a run in the morning.,Genellikle sabah koşuya çıkarım.
mortal,adjective,B2,ölümlü,Every human is mortal.,Her insan ölümlüdür.
mortar,noun,B2,harç,The workers mixed the mortar for the bricks.,İşçiler tuğlalar için harç hazırladılar.
mortgage,noun,B2,ipotek,They took out a mortgage to buy their house.,Evlerini almak için ipotek aldılar.
mortify,verb,B2,küçük düşürmek,He was mortified by his mistake.,Hatası yüzünden küçük düşürüldü.
mosque,noun,A2,cami,They visited the mosque during their trip to Istanbul.,İstanbul gezileri sırasında camiyi ziyaret ettiler.
mosquito,noun,B1,sivrisinek,The mosquito bites were very itchy.,Sivrisinek ısırıkları çok kaşındırıyordu.
moss,noun,B1,yosun,The rocks were covered in green moss.,Kayalar yeşil yosunla kaplıydı.
most,adverb,A2,en,This is the most beautiful place Ive ever seen.,Burası şimdiye kadar gördüğüm en güzel yer.
most,determiner,A1,en,He spent most of his time studying.,Zamanının çoğunu ders çalışarak geçirdi.
most,pronoun,A2,en,Most of them agreed with the decision.,Onların çoğu karara katıldı.
mostly,adverb,A2,çoğunlukla,The audience was mostly students.,Seyirciler çoğunlukla öğrencilerden oluşuyordu.
mother,noun,A1,anne,My mother is an amazing cook.,Annem harika bir aşçıdır.
mother in law,noun,B2,kayınvalide,She gets along well with her mother in law.,Kayınvalidesiyle iyi anlaşır.
motherland,noun,B1,vatan,He always dreamed of returning to his motherland.,Her zaman vatanına geri dönmeyi hayal etti.
motion,noun,B2,hareket,The motion of the waves was calming.,Dalgalardaki hareket sakinleştiriciydi.
motionless,adjective,B1,hareketsiz,She stood motionless afraid to move.,Hareket etmeden durdu hareket etmekten korkuyordu.
motivate,verb,B1,motive etmek,Her success motivates me to work harder.,Onun başarısı beni daha çok çalışmaya motive ediyor.
motivated,adjective,B2,motive,The students are highly motivated to learn.,Öğrenciler öğrenmeye oldukça motive olmuş durumda.
motivation,noun,B1,motivasyon,His speech gave me the motivation to keep going.,Konuşması bana devam etmek için motivasyon verdi.
motive,noun,B1,sebep,The police are still looking for the motive behind the crime.,Polis hâlâ suçun arkasındaki nedeni araştırıyor.
motor,noun,B1,motor,The cars motor stopped working.,Arabanın motoru çalışmayı durdurdu.
motorbike,noun,B2,motosiklet,He enjoys riding his motorbike on weekends.,Hafta sonları motosiklet sürmekten keyif alır.
motorcycle,noun,B1,motosiklet,He bought a new motorcycle last year.,Geçen yıl yeni bir motosiklet aldı.
motorist,noun,B2,sürücü,The motorist stopped to help a stranded driver.,Sürücü yolda kalan birine yardım etmek için durdu.
motorway,noun,A2,otoyol,The motorway was closed due to an accident.,Kaza nedeniyle otoyol kapatıldı.
motto,noun,B1,slogan,Live and let live is his motto.,Yaşa ve yaşat onun sloganıdır.
mount,noun,B1,montaj,The mount of the TV was loose.,Televizyonun montajı gevşekti.
mount,verb,B2,montaj yapmak,He mounted the camera on the tripod.,Kamerayı tripoda monte etti.
mountain,noun,A1,dağ,We hiked up the mountain last weekend.,Geçen hafta sonu dağa tırmandık.
mountaintop,noun,B1,dağ zirvesi,They reached the mountaintop after hours of hiking.,Saatlerce yürüyüşten sonra dağın zirvesine ulaştılar.
mourn,verb,B1,yas tutmak,The family is mourning the loss of their loved one.,Aile sevdiklerinin kaybının yasını tutuyor.
mournful,adjective,B2,kederli,The mournful song echoed through the church.,Kederli şarkı kilise boyunca yankılandı.
mouse,noun,A1,fare,The mouse ran across the kitchen floor.,Fare mutfak zemininde koştu.
mouth,noun,A1,ağız,She took a sip of water and wiped her mouth.,Bir yudum su aldı ve ağzını sildi.
move,noun,A1,taşınmak,The move to a new city was exciting.,Yeni bir şehre taşınmak heyecan vericiydi.
move,verb,A2,taşınmak,Were planning to move next year.,Gelecek yıl taşınmayı planlıyoruz.
movement,noun,B1,hareket,The movement of the dancers was graceful.,Dansçıların hareketleri zarifti.
mover,noun,B2,taşıyıcı,The movers were careful with the furniture.,Taşıyıcılar mobilyalara dikkat etti.
movie,noun,A1,film,We watched a movie last night.,Dün gece bir film izledik.
moving,adjective,B2,hareketli,It was a moving experience to visit the memorial.,Anıtı ziyaret etmek duygusal bir deneyimdi.
MP3 player,noun,A2,mp3 çalar,I used to listen to music on my MP3 player.,Eskiden mp3 çalarımda müzik dinlerdim.
Mr./Mr,noun,A1,Bay/Bay,Mr. Smith is our new neighbor.,Bay Smith bizim yeni komşumuz.
Mrs./Mrs,noun,A1,Bayan/Bayan,Mrs. Johnson is a teacher at my school.,Bayan Johnson benim okulumda öğretmen.
Ms./Ms,noun,A2,Bayan/Bayan,Ms. Davis called to confirm the appointment.,Bayan Davis randevuyu teyit etmek için aradı.
much,adverb,A1,fazla,She doesnt talk much in class.,Sınıfta fazla konuşmaz.
much,determiner,A1,fazla,He has much work to do.,Yapacak çok işi var.
much,pronoun,A1,fazla,There isnt much milk left in the fridge.,Buzdolabında fazla süt kalmadı.
mud,noun,B1,çamur,The children played in the mud after the rain.,Çocuklar yağmurdan sonra çamurda oynadılar.
muddy,adjective,B2,bulanık,The road was muddy after the storm.,Fırtınadan sonra yol çamurluydu.
mug,noun,A2,kupa,She drank her coffee from a large mug.,Kahvesini büyük bir kupadan içti.
mule,noun,B1,katır,The mule carried the supplies up the mountain.,Katır malzemeleri dağa taşıdı.
multiple,adjective,B2,çoklu,He had multiple reasons for his decision.,Kararı için birden çok nedeni vardı.
multiply,verb,B2,çarpmak,In math class we learned how to multiply fractions.,Matematik dersinde kesirleri nasıl çarpacağımızı öğrendik.
mum,noun,A1,anne,My mum makes the best cakes.,Annem en iyi kekleri yapar.
mumble,noun,B2,mırıltı,I could hear a mumble from the other room.,Diğer odadan bir mırıltı duydum.
mumble,verb,B2,mırıldanmak,He mumbled something under his breath.,Ağzının içinde bir şeyler mırıldandı.
murder,noun,A2,cinayet,The police are investigating a murder case.,Polis bir cinayet vakasını araştırıyor.
murder,verb,B1,cinayet işlemek,The detective believes he was murdered.,Dedektif onun cinayete kurban gittiğine inanıyor.
murderer,noun,B1,katil,The murderer was caught after a long investigation.,Uzun bir soruşturmanın ardından katil yakalandı.
murmur,noun,B2,üfürüm,There was a soft murmur of conversation in the room.,Odada hafif bir konuşma mırıltısı vardı.
muscle,noun,B1,kas,I strained a muscle in my leg while running.,Koşarken bacağımda bir kas zorladım.
muse,verb,B2,düşünceye dalmak,He mused over the meaning of the painting.,Tabloyun anlamı üzerine düşündü.
museum,noun,A2,müze,We visited the art museum during our trip to Paris.,Paris gezimiz sırasında sanat müzesini ziyaret ettik.
mushroom,noun,A2,mantar,We had mushrooms in our salad last night.,Dün akşam salatamızda mantar vardı.
music,noun,A1,müzik,I love listening to classical music.,Klasik müzik dinlemeyi seviyorum.
musical,adjective,A2,müzikal,She is very talented in musical performances.,Müzikal performanslarda çok yeteneklidir.
musical,noun,B2,müzikal,We went to see a musical at the theater last night.,Dün gece tiyatroda bir müzikale gittik.
musician,noun,A1,müzisyen,He dreams of becoming a professional musician.,Profesyonel bir müzisyen olmayı hayal ediyor.
must,modal auxiliary,A1,zorunda olmak,You must wear a seatbelt while driving.,Araba kullanırken emniyet kemeri takmak zorundasınız.
mustache/moustache,noun,B2,bıyık,He decided to grow a mustache.,Bıyık bırakmaya karar verdi.
mustard,noun,B1,hardal,She added a bit of mustard to the sandwich.,Sandviçe biraz hardal ekledi.
mutability,noun,B2,değişkenlik,The mutability of technology makes it hard to keep up.,Teknolojinin değişkenliği takip etmeyi zorlaştırıyor.
mutable,adjective,B2,değişken,Human emotions are mutable and can change quickly.,İnsan duyguları değişkendir ve hızla değişebilir.
mutter,noun,B2,mırıltı,I heard a quiet mutter in the room.,Odada sessiz bir mırıltı duydum.
mutter,verb,B2,mırıldanmak,He muttered something under his breath.,Ağzının içinde bir şeyler mırıldandı.
mutton,noun,B2,koyun eti,They served roast mutton at the dinner.,Akşam yemeğinde koyun eti servis ettiler.
mutual,adjective,B1,karşılıklı,They have a mutual respect for each other.,Birbirlerine karşılıklı saygı duyuyorlar.
my,determiner,A1,benim,This is my book.,Bu benim kitabım.
myself,pronoun,A2,kendim,I made the cake myself.,Pastayı kendim yaptım.
mysterious,adjective,A2,gizemli,There was a mysterious noise coming from the attic.,Tavan arasından gizemli bir ses geliyordu.
mystery,noun,A2,gizem,The disappearance of the keys remains a mystery.,Anahtarların kaybolması bir gizem olarak kaldı.
mystify,verb,B2,gizemli kılmak,The strange behavior mystified everyone.,Garip davranışlar herkesi gizemli bir şekilde etkiledi.
myth,noun,B1,efsane,The ancient Greeks had many myths about their gods.,Antik Yunanlıların tanrıları hakkında birçok efsanesi vardı.
nail,noun,B1,çivi,I hammered a nail into the wall to hang the picture.,Resmi asmak için duvara bir çivi çaktım.
naked,adjective,B1,çıplak,The baby was playing naked in the backyard.,Bebek arka bahçede çıplak oynuyordu.
name,noun,A1,isim,My name is Sarah.,Benim adım Sarah.
name,verb,B1,isimlendirmek,They named their new puppy Max.,Yeni köpeklerine Max adını verdiler.
nano,noun,B2,nano,Nano technology is advancing rapidly.,Nano teknoloji hızla gelişiyor.
nap,noun,B1,kestirme,I took a short nap after lunch.,Öğle yemeğinden sonra kısa bir kestirme yaptım.
napkin,noun,A2,peçete,She placed a napkin on her lap before eating.,Yemek yemeden önce kucağına bir peçete koydu.
narcissistic,adjective,B2,narsist,His narcissistic behavior made it hard to be around him.,Narsist davranışları onunla birlikte olmayı zorlaştırdı.
narrate,verb,B1,anlatmak,She narrated the documentary with a calm voice.,Belgeseli sakin bir sesle anlattı.
narrative,adjective,B1,anlatı,The novel follows a narrative structure.,Roman anlatı yapısını takip ediyor.
narrator,noun,B2,anlatıcı,The narrator of the story was a young boy.,Hikayenin anlatıcısı genç bir çocuktu.
narrow,adjective,B1,dar,The path was narrow and hard to walk on.,Yol dar ve yürümesi zordu.
narrowly,adverb,B2,dar bir şekilde,He narrowly escaped the accident.,Kazadan kıl payı kurtuldu.
nasty,adjective,B1,edepsiz,The food had a nasty taste.,Yemeğin tadı edepsizdi.
nation,noun,A2,ulus,The nation celebrated its independence day.,Ulus bağımsızlık gününü kutladı.
national,adjective,A2,ulusal,She is part of the national team.,O ulusal takımın bir parçası.
nationalist,noun,B1,milliyetçi,He is a strong nationalist.,O güçlü bir milliyetçidir.
nationality,noun,A1,milliyet,What is your nationality?,Milliyetiniz nedir?
nationwide,adjective,B2,ülke çapında,The event was broadcast nationwide.,Etkinlik ülke çapında yayınlandı.
nationwide,adverb,B2,ülke çapında,The policy was applied nationwide.,Politika ülke çapında uygulandı.
native,adjective,A2,yerli,She is a native speaker of Spanish.,O İspanyolcanın anadili konuşucusudur.
native speaker,noun,B2,anadili konuşan,He learned English from a native speaker.,İngilizceyi anadili konuşan birinden öğrendi.
natural,adjective,A2,doğal,This product is made from natural ingredients.,Bu ürün doğal malzemelerden yapılmıştır.
naturally,adverb,B1,doğal olarak,He naturally assumed they would come.,Doğal olarak geleceğini varsaydı.
nature,noun,A2,doğa,I enjoy spending time in nature.,Doğada vakit geçirmeyi seviyorum.
naughty,adjective,B2,yaramaz,The naughty child kept running around the house.,Yaramaz çocuk evde sürekli koşuşturuyordu.
naval,adjective,B2,deniz,He served in the naval forces for five years.,Beş yıl deniz kuvvetlerinde görev yaptı.
navigate,verb,B2,gezinmek,They used a map to navigate through the city.,Şehirde gezinmek için bir harita kullandılar.
navigation,noun,B2,yön bulma,The cars navigation system guided us to the hotel.,Arabanın navigasyon sistemi bizi otele yönlendirdi.
navy,noun,B2,donanma,He joined the navy right after high school.,Liseden hemen sonra donanmaya katıldı.
navy blue,adjective,B1,lacivert,She wore a navy blue dress to the party.,Partiye lacivert bir elbise giydi.
near,adjective,B1,yakın,The store is near my house.,Mağaza evime yakın.
near,adverb,B1,yakın,We walked near the park.,Parkın yakınında yürüdük.
near,preposition,A1,yakın,The school is near the library.,Okul kütüphaneye yakın.
nearby,adjective,B1,yakında,Theres a nearby café we can visit.,Yakında ziyaret edebileceğimiz bir kafe var.
nearby,adverb,B1,yakında,They live nearby so we see them often.,Onlar yakında yaşıyor bu yüzden sık sık görüşüyoruz.
nearly,adverb,A2,neredeyse,I nearly missed the bus this morning.,Bu sabah otobüsü neredeyse kaçırıyordum.
neat,adjective,B2,düzenli,Her room is always neat and tidy.,Onun odası her zaman düzenli ve temizdir.
necessarily,adverb,B2,mutlaka,It doesnt necessarily mean youre wrong.,Bu mutlaka yanlış olduğun anlamına gelmez.
necessary,adjective,A2,gerekli,Its necessary to bring your ID card.,Kimlik kartınızı getirmeniz gerekiyor.
necessity,noun,B2,gereklilik,Water is a necessity for all living beings.,Su tüm canlılar için bir gerekliliktir.
neck,noun,A1,boyun,He has a scar on his neck.,Boynunda bir yara izi var.
necklace,noun,B1,kolye,She wore a beautiful gold necklace.,Güzel bir altın kolye taktı.
nectar,noun,B1,nektar,Bees collect nectar from flowers.,Arılar çiçeklerden nektar toplar.
need,modal auxiliary,A1,ihtiyaç,You need to finish your homework.,Ödevini bitirmen gerekiyor.
need,noun,B2,ihtiyaç,Theres a need for more volunteers.,Daha fazla gönüllüye ihtiyaç var.
need,verb,A2,ihtiyaç,I need to buy some groceries.,Biraz market alışverişi yapmam gerekiyor.
needle,noun,B1,iğne,She used a needle to sew the button back on.,Düğmeyi geri dikmek için bir iğne kullandı.
needless,adjective,B2,gereksiz,There was a needless amount of confusion.,Gereksiz bir karışıklık yaşandı.
needy,adjective,B2,muhtaç,The charity helps needy families in the area.,Hayır kurumu bölgedeki muhtaç ailelere yardım ediyor.
negative,adjective,A2,olumsuz,The feedback was mostly negative.,Geri bildirim çoğunlukla olumsuzdu.
negatively,adverb,B2,olumsuz,His comments affected her negatively.,Yorumları onu olumsuz etkiledi.
neglect,noun,B2,ihmal,The neglect of the old building is obvious.,Eski binanın ihmal edildiği çok açık.
negotiate,verb,B1,müzakere etmek,The two countries are negotiating a peace deal.,İki ülke bir barış anlaşması müzakere ediyor.
negotiation,noun,B1,müzakere,The negotiation lasted for several hours.,Müzakere birkaç saat sürdü.
neighbor/neighbour,noun,A1,komşu,My neighbor is very friendly.,Komşum çok arkadaş canlısı.
neighborhood/neighbourhood,noun,B1,mahalle,We live in a quiet neighborhood.,Sessiz bir mahallede yaşıyoruz.
neighboring/neighbouring,adjective,B2,komşu,The neighboring towns are working together on the project.,Komşu kasabalar projede birlikte çalışıyor.
neither,adverb,B2,hiçbiri,Neither of them wanted to go to the party.,İkisinden biri de partiye gitmek istemedi.
neither,conjunction,B2,hiçbiri,Neither rain nor snow can stop us.,Ne yağmur ne kar bizi durduramaz.
neither,determiner,B2,hiçbiri,Neither of the solutions worked.,Çözümlerden hiçbiri işe yaramadı.
neither,pronoun,B2,hiçbiri,Neither was interested in the topic.,İkisi de konuyla ilgilenmedi.
nephew,noun,B1,yeğen,I took my nephew to the zoo.,Yeğenimi hayvanat bahçesine götürdüm.
nerve,noun,B2,sinir,The dentist hit a nerve while drilling.,Dişçi delme sırasında bir sinire dokundu.
nerves,noun,B2,sinirler,My nerves were on edge before the exam.,Sınavdan önce sinirlerim çok gergindi.
nervous,adjective,A2,gergin,She felt nervous before the job interview.,İş görüşmesinden önce gergindi.
nervously,adverb,B2,gergin bir şekilde,He nervously glanced at his watch.,Gergin bir şekilde saatine baktı.
nervousness,noun,B1,sinirlilik,His nervousness was evident during the speech.,Konuşma sırasında sinirliliği çok belli oluyordu.
ness,noun,B1,varlık,The vastness of the ocean amazed me.,Okyanusun genişliği beni hayran bıraktı.
net,adjective,A2,açık,The company reported a net profit for the year.,Şirket yıl boyunca net kâr bildirdi.
net,noun,B1,ağ,They used a fishing net to catch the fish.,Balıkları yakalamak için bir balık ağı kullandılar.
netsurfer/net surfer,noun,B2,net sörfçüsü,Hes a frequent net surfer always looking for new information.,O sürekli internette sörf yapıyor her zaman yeni bilgi arıyor.
network,noun,B1,ağ,The TV network is launching a new show.,TV ağı yeni bir dizi başlatıyor.
neurosis,noun,B2,nevroz,His neurosis made him overly anxious about everything.,Onun nevrozu her şey konusunda aşırı endişeli olmasına neden oldu.
neutral,adjective,B1,tarafsız,The country remained neutral during the war.,Ülke savaş sırasında tarafsız kaldı.
never,adverb,A1,asla,I have never been to Paris.,Parise hiç gitmedim.
nevertheless,adverb,B1,yine de,It was raining nevertheless we went out.,Yağmur yağıyordu yine de dışarı çıktık.
new,adjective,A1,yeni,She bought a new phone yesterday.,Dün yeni bir telefon aldı.
newborn,adjective,B1,yeni doğan,The newborn baby is healthy and strong.,Yeni doğan bebek sağlıklı ve güçlü.
newcomer,noun,B1,yeni gelen,The newcomer quickly made friends at school.,Yeni gelen öğrenci okulda hızla arkadaş edindi.
newly,adverb,B1,yeni,She is newly married and very happy.,O yeni evlendi ve çok mutlu.
news,noun,A1,haberler,Did you hear the news about the election?,Seçimle ilgili haberi duydun mu?
newscaster,noun,B2,haber spikeri,The newscaster delivered the evening news.,Haber spikeri akşam haberlerini sundu.
newspaper,noun,A1,gazete,He reads the newspaper every morning.,Her sabah gazeteyi okur.
newsworthy,adjective,B2,haber değeri olan,The event was newsworthy enough to be featured on TV.,Olay TVde yer alacak kadar haber değerindeydi.
next,adverb,A2,sonraki,Whats your next plan?,Sonraki planın nedir?
next,determiner,A2,sonraki,The next meeting is on Monday.,Sonraki toplantı Pazartesi günü.
next,pronoun,B2,sonraki,Ill go next if no one else wants to.,Başka kimse istemiyorsa sonraki ben giderim.
next door,adverb,B1,yan kapı,We live next door to a nice family.,Yan kapıda hoş bir aileyle yaşıyoruz.
next to,preposition,A2,yanında,She sat next to her friend.,Arkadaşının yanında oturdu.
next door,adjective,B1,yan kapı,Our next door neighbors are very friendly.,Yan kapı komşularımız çok arkadaş canlısı.
nice,adjective,A1,güzel,She gave me a nice gift for my birthday.,Bana doğum günümde güzel bir hediye verdi.
nicely,adverb,B2,güzelce,The room was nicely decorated for the party.,Oda parti için güzelce süslenmişti.
nickname,noun,B1,takma ad,His nickname is Speedy because hes fast.,Takma adı Hızlı çünkü çok hızlıdır.
niece,noun,B1,yeğen,I took my niece to the park yesterday.,Dün yeğenimi parka götürdüm.
night,noun,A1,gece,It was a beautiful night with a clear sky.,Gökyüzü açık güzel bir geceydi.
nightclub,noun,B2,gece kulübü,They went to a nightclub to celebrate the birthday.,Doğum günü kutlaması için gece kulübüne gittiler.
nightlife,noun,B1,gece hayatı,New York is famous for its vibrant nightlife.,New York canlı gece hayatıyla ünlüdür.
nightmare,noun,B2,kabus,She had a nightmare about losing her job.,İşini kaybettiğiyle ilgili bir kabus gördü.
nine,number,A1,dokuz,There are nine players on the team.,Takımda dokuz oyuncu var.
nineteen,number,A1,on dokuz,She will turn nineteen next month.,Gelecek ay on dokuz yaşına girecek.
ninety,number,A1,doksan,The speed limit is ninety kilometers per hour.,Hız sınırı saatte doksan kilometre.
no,adverb,A1,hayır,No I dont want any coffee.,Hayır kahve istemiyorum.
no,determiner,A1,hayır,There is no milk left in the fridge.,Buzdolabında hiç süt kalmadı.
no one,pronoun,A2,hiç kimse,No one knew the answer to the question.,Sorunun cevabını hiç kimse bilmiyordu.
nobility,noun,B2,asalet,He was respected for his nobility and kindness.,Asaleti ve nezaketi nedeniyle saygı gördü.
noble,adjective,B2,soylu,She comes from a noble family.,Soylu bir aileden geliyor.
nobleman,noun,B2,asilzade,The nobleman lived in a large mansion.,Asilzade büyük bir konakta yaşıyordu.
nobody,pronoun,A2,hiç kimse,Nobody wanted to leave the party early.,Hiç kimse partiden erken ayrılmak istemedi.
nod,noun,B1,başını sallamak,She gave me a quick nod to show agreement.,Onaylamak için bana hızlıca başını salladı.
nod,verb,B2,başını sallamak,He nodded in agreement during the meeting.,Toplantı sırasında başını sallayarak onay verdi.
noise,noun,A1,gürültü,There was a lot of noise coming from the construction site.,İnşaat alanından çok fazla gürültü geliyordu.
noisily,adverb,B1,gürültüyle,The kids were playing noisily in the park.,Çocuklar parkta gürültüyle oynuyordu.
noisy,adjective,A2,gürültülü,The restaurant was too noisy to have a conversation.,Restoran sohbet etmek için çok gürültülüydü.
nomad,noun,B2,göçebe,The nomads moved their herds across the plains.,Göçebeler sürülerini ovalarda sürdüler.
nomination,noun,B2,adaylık,She received a nomination for the Best Actress award.,En İyi Kadın Oyuncu ödülü için adaylık aldı.
nominee,noun,B2,aday,The nominee gave a speech after receiving the award.,Aday ödülü aldıktan sonra bir konuşma yaptı.
none,pronoun,B1,hiçbiri,None of the guests arrived on time.,Konukların hiçbiri zamanında gelmedi.
nonetheless,adverb,B1,her şeye rağmen,It was raining but we went hiking nonetheless.,Yağmur yağıyordu ama yine de yürüyüşe çıktık.
nonprofessional,adjective,B2,profesyonel olmayan,He plays football as a nonprofessional.,O futbolu profesyonel olmayan biri olarak oynuyor.
nonsense,noun,B1,anlamsız,Dont believe that nonsense its not true.,O saçmalığa inanma doğru değil.
non smoking,adjective,B2,sigara içilmez,This is a non smoking area in the restaurant.,Burası restoranda sigara içilmeyen bir alandır.
noon,noun,A2,öğlen,We will meet at noon for lunch.,Öğlen yemeği için buluşacağız.
nor,conjunction,B1,ne de,I didnt see him nor did I hear him.,Onu görmedim ne de duymadım.
normal,adjective,A2,normal,Its normal to feel nervous before an exam.,Bir sınavdan önce gergin hissetmek normaldir.
normally,adverb,B1,normalde,I normally go to bed at 10 PM.,Normalde akşam 10da yatarım.
north,adjective,A2,kuzey,The north wind is quite cold today.,Kuzey rüzgarı bugün oldukça soğuk.
north,adverb,A2,kuzey,The birds fly north during the summer.,Kuşlar yaz aylarında kuzeye uçar.
north,noun,A2,kuzey,They live in the north of the country.,Ülkenin kuzeyinde yaşıyorlar.
northeast,adjective,B1,kuzeydoğu,The northeast part of the city is growing rapidly.,Şehrin kuzeydoğu kısmı hızla büyüyor.
northeast,noun,B1,kuzeydoğu,He is from the northeast of the country.,O ülkenin kuzeydoğusundan.
northeastern,adjective,B1,kuzeydoğu,Northeastern winds bring cold weather.,Kuzeydoğu rüzgarları soğuk hava getirir.
northern,adjective,B1,kuzey,The northern regions are cooler.,Kuzey bölgeleri daha serindir.
northward,adverb,B2,kuzeye doğru,The river flows northward towards the sea.,Nehir denize doğru kuzeye akar.
northwest,adjective,B1,kuzeybatı,The northwest corner of the park has a playground.,Parkın kuzeybatı köşesinde bir oyun alanı var.
northwest,noun,B1,kuzeybatı,We traveled to the northwest for the weekend.,Hafta sonu kuzeybatıya seyahat ettik.
northwestern,adjective,B1,kuzeybatı,Northwestern cities have beautiful landscapes.,Kuzeybatı şehirlerinin güzel manzaraları vardır.
nose,noun,A1,burun,His nose was red from the cold.,Burnu soğuktan kızarmıştı.
nostril,noun,B2,burun deliği,He flared his nostrils in anger.,Öfkeyle burun deliklerini genişletti.
not,adverb,A1,olumsuz,Im not going to the party tonight.,Bu gece partiye gitmiyorum.
note,noun,A1,not,She left me a note on the fridge.,Buzdolabında bana bir not bıraktı.
note,verb,A1,not,Please note the important details in your notebook.,Lütfen önemli ayrıntıları defterinize not alın.
notebook,noun,A1,not defteri,I always carry a notebook to write down my ideas.,Fikirlerimi yazmak için her zaman bir not defteri taşırım.
nothing,pronoun,A1,hiçbir şey,Theres nothing in the fridge to eat.,Buzdolabında yiyecek hiçbir şey yok.
notice,noun,A2,fark etme,I didnt take notice of the changes in the room.,Odadaki değişiklikleri fark etmedim.
notice,verb,B1,fark etme,Did you notice the new painting on the wall?,Duvardaki yeni tabloyu fark ettin mi?
noticeable,adjective,B1,farkedilebilir,The stain on your shirt is quite noticeable.,Gömleğindeki leke oldukça fark edilebilir.
noticeboard,noun,B1,duyuru panosu,Theres a new announcement on the office noticeboard.,Ofis duyuru panosunda yeni bir duyuru var.
notion,noun,B1,fikir,She had an interesting notion about improving efficiency.,Verimliliği artırmakla ilgili ilginç bir fikri vardı.
notorious,adjective,B1,kötü şöhretli,The city is notorious for its traffic jams.,Şehir trafik sıkışıklıklarıyla kötü şöhretlidir.
nought,noun,B2,hiçbir şey,All their efforts came to nought.,Tüm çabaları boşa gitti.
noun,noun,A2,isim,A noun is a word used to identify any of a class of people places or things.,İsim insan yer veya şeyleri tanımlamak için kullanılan bir kelimedir.
nourish,verb,B2,beslemek,It is important to nourish your body with healthy food.,Vücudunuzu sağlıklı yiyeceklerle beslemek önemlidir.
nourishment,noun,B2,beslenme,Proper nourishment is key to a healthy life.,Doğru beslenme sağlıklı bir yaşamın anahtarıdır.
novel,noun,A2,roman,He enjoys reading novels in his free time.,Boş zamanlarında roman okumaktan hoşlanır.
novelist,noun,B1,romancı,She is a well known novelist in the literary world.,O edebiyat dünyasında tanınmış bir romancıdır.
